"","data_action"
"290","First Party Collection/Use"
"291","First Party Collection/Use"
"292","First Party Collection/Use"
"293","First Party Collection/Use"
"294","First Party Collection/Use"
"295","First Party Collection/Use"
"296","First Party Collection/Use"
"297","First Party Collection/Use"
"298","First Party Collection/Use"
"299","First Party Collection/Use"
"300","First Party Collection/Use"
"301","First Party Collection/Use"
"302","First Party Collection/Use"
"303","Other"
"304","Other"
"305","First Party Collection/Use"
"306","First Party Collection/Use"
"307","First Party Collection/Use"
"308","First Party Collection/Use"
"309","First Party Collection/Use"
"310","First Party Collection/Use"
"311","First Party Collection/Use"
"312","First Party Collection/Use"
"313","First Party Collection/Use"
"314","First Party Collection/Use"
"315","First Party Collection/Use"
"316","First Party Collection/Use"
"317","First Party Collection/Use"
"318","First Party Collection/Use"
"319","First Party Collection/Use"
"320","First Party Collection/Use"
"321","First Party Collection/Use"
"322","First Party Collection/Use"
"323","First Party Collection/Use"
"324","First Party Collection/Use"
"325","First Party Collection/Use"
"326","Other"
"327","First Party Collection/Use"
"328","First Party Collection/Use"
"329","Other"
"330","First Party Collection/Use"
"331","First Party Collection/Use"
"332","Other"
"333","Third Party Sharing/Collection"
"334","Third Party Sharing/Collection"
"335","Third Party Sharing/Collection"
"336","Third Party Sharing/Collection"
"337","Third Party Sharing/Collection"
"338","Third Party Sharing/Collection"
"339","Third Party Sharing/Collection"
"340","Third Party Sharing/Collection"
"341","Third Party Sharing/Collection"
"342","Third Party Sharing/Collection"
"343","Third Party Sharing/Collection"
"344","Third Party Sharing/Collection"
"345","Third Party Sharing/Collection"
"346","Third Party Sharing/Collection"
"347","Third Party Sharing/Collection"
"348","Third Party Sharing/Collection"
"349","Third Party Sharing/Collection"
"350","Third Party Sharing/Collection"
"351","Third Party Sharing/Collection"
"352","Third Party Sharing/Collection"
"353","Third Party Sharing/Collection"
"354","Third Party Sharing/Collection"
"355","Third Party Sharing/Collection"
"356","Third Party Sharing/Collection"
"357","Third Party Sharing/Collection"
"358","User Choice/Control"
"359","Third Party Sharing/Collection"
"360","Third Party Sharing/Collection"
"361","Other"
"362","Data Security"
"363","Other"
"364","Third Party Sharing/Collection"
"365","Third Party Sharing/Collection"
"366","Other"
"367","Third Party Sharing/Collection"
"368","Third Party Sharing/Collection"
"369","Third Party Sharing/Collection"
"370","Third Party Sharing/Collection"
"371","Third Party Sharing/Collection"
"372","Third Party Sharing/Collection"
"373","Third Party Sharing/Collection"
"374","Third Party Sharing/Collection"
"375","Third Party Sharing/Collection"
"376","Third Party Sharing/Collection"
"377","Third Party Sharing/Collection"
"378","Third Party Sharing/Collection"
"379","Third Party Sharing/Collection"
"380","Other"
"381","Other"
"382","Other"
"383","Third Party Sharing/Collection"
"384","Third Party Sharing/Collection"
"385","Third Party Sharing/Collection"
"386","First Party Collection/Use"
"387","Third Party Sharing/Collection"
"388","Third Party Sharing/Collection"
"389","Third Party Sharing/Collection"
"390","Third Party Sharing/Collection"
"391","First Party Collection/Use"
"392","First Party Collection/Use"
"393","First Party Collection/Use"
"394","First Party Collection/Use"
"395","First Party Collection/Use"
"396","First Party Collection/Use"
"397","Other"
"398","Do Not Track"
"399","Do Not Track"
"400","Other"
"401","Other"
"402","User Access, Edit and Deletion"
"403","User Access, Edit and Deletion"
"404","User Access, Edit and Deletion"
"405","User Access, Edit and Deletion"
"406","User Access, Edit and Deletion"
"407","User Access, Edit and Deletion"
"408","User Choice/Control"
"409","User Choice/Control"
"410","User Choice/Control"
"411","User Choice/Control"
"412","User Choice/Control"
"413","Other"
"414","Other"
"415","User Choice/Control"
"416","User Choice/Control"
"417","User Choice/Control"
"418","User Choice/Control"
"419","User Choice/Control"
"420","User Choice/Control"
"421","User Choice/Control"
"422","User Choice/Control"
"423","Other"
"424","Data Security"
"425","Data Security"
"426","Data Security"
"427","Data Security"
"428","Data Security"
"429","Data Security"
"430","Data Security"
"431","Data Security"
"432","International and Specific Audiences"
"433","International and Specific Audiences"
"434","Other"
"435","International and Specific Audiences"
"436","Other"
"437","User Choice/Control"
"438","User Choice/Control"
"439","User Choice/Control"
"440","User Choice/Control"
"441","Other"
"442","Other"
"443","International and Specific Audiences"
"444","Other"
"445","International and Specific Audiences"
"446","Other"
"447","International and Specific Audiences"
"448","Other"
"449","Other"
"450","Policy Change"
"451","Policy Change"
"452","Policy Change"
"453","Policy Change"
"454","Policy Change"
"455","Policy Change"
"456","Policy Change"
"457","Policy Change"
"458","Other"
"459","Other"
"460","User Choice/Control"
"461","First Party Collection/Use"
"462","First Party Collection/Use"
"463","Third Party Sharing/Collection"
"464","Third Party Sharing/Collection"
"465","User Choice/Control"
"466","User Choice/Control"
"467","User Access, Edit and Deletion"
"468","Data Security"
"469","Policy Change"
"470","International and Specific Audiences"
"471","Third Party Sharing/Collection"
"472","Other"
"473","Other"
"474","First Party Collection/Use"
"475","First Party Collection/Use"
"476","First Party Collection/Use"
"477","First Party Collection/Use"
"478","First Party Collection/Use"
"479","Data Retention"
"480","First Party Collection/Use"
"481","First Party Collection/Use"
"482","First Party Collection/Use"
"483","First Party Collection/Use"
"484","First Party Collection/Use"
"485","First Party Collection/Use"
"486","First Party Collection/Use"
"487","First Party Collection/Use"
"488","First Party Collection/Use"
"489","User Choice/Control"
"490","Data Retention"
"491","Data Retention"
"492","Data Retention"
"493","First Party Collection/Use"
"494","First Party Collection/Use"
"495","Data Retention"
"496","First Party Collection/Use"
"497","First Party Collection/Use"
"498","First Party Collection/Use"
"499","First Party Collection/Use"
"500","First Party Collection/Use"
"501","First Party Collection/Use"
"502","First Party Collection/Use"
"503","First Party Collection/Use"
"504","First Party Collection/Use"
"505","Data Retention"
"506","Data Retention"
"507","First Party Collection/Use"
"508","First Party Collection/Use"
"509","First Party Collection/Use"
"510","First Party Collection/Use"
"511","First Party Collection/Use"
"512","First Party Collection/Use"
"513","First Party Collection/Use"
"514","First Party Collection/Use"
"515","First Party Collection/Use"
"516","First Party Collection/Use"
"517","First Party Collection/Use"
"518","First Party Collection/Use"
"519","First Party Collection/Use"
"520","First Party Collection/Use"
"521","First Party Collection/Use"
"522","Third Party Sharing/Collection"
"523","First Party Collection/Use"
"524","Third Party Sharing/Collection"
"525","Third Party Sharing/Collection"
"526","Third Party Sharing/Collection"
"527","User Choice/Control"
"528","User Choice/Control"
"529","User Choice/Control"
"530","User Choice/Control"
"531","First Party Collection/Use"
"532","First Party Collection/Use"
"533","First Party Collection/Use"
"534","First Party Collection/Use"
"535","Other"
"536","User Choice/Control"
"537","First Party Collection/Use"
"538","First Party Collection/Use"
"539","First Party Collection/Use"
"540","User Choice/Control"
"541","User Choice/Control"
"542","First Party Collection/Use"
"543","First Party Collection/Use"
"544","Third Party Sharing/Collection"
"545","First Party Collection/Use"
"546","First Party Collection/Use"
"547","First Party Collection/Use"
"548","First Party Collection/Use"
"549","First Party Collection/Use"
"550","User Choice/Control"
"551","First Party Collection/Use"
"552","First Party Collection/Use"
"553","First Party Collection/Use"
"554","First Party Collection/Use"
"555","First Party Collection/Use"
"556","Third Party Sharing/Collection"
"557","Third Party Sharing/Collection"
"558","User Choice/Control"
"559","User Choice/Control"
"560","User Access, Edit and Deletion"
"561","First Party Collection/Use"
"562","First Party Collection/Use"
"563","First Party Collection/Use"
"564","Third Party Sharing/Collection"
"565","Third Party Sharing/Collection"
"566","Other"
"567","First Party Collection/Use"
"568","Third Party Sharing/Collection"
"569","Third Party Sharing/Collection"
"570","Third Party Sharing/Collection"
"571","Third Party Sharing/Collection"
"572","Other"
"573","Third Party Sharing/Collection"
"574","Third Party Sharing/Collection"
"575","Third Party Sharing/Collection"
"576","Third Party Sharing/Collection"
"577","Third Party Sharing/Collection"
"578","Third Party Sharing/Collection"
"579","Third Party Sharing/Collection"
"580","Third Party Sharing/Collection"
"581","Third Party Sharing/Collection"
"582","Third Party Sharing/Collection"
"583","Third Party Sharing/Collection"
"584","Third Party Sharing/Collection"
"585","User Choice/Control"
"586","Third Party Sharing/Collection"
"587","Other"
"588","Third Party Sharing/Collection"
"589","First Party Collection/Use"
"590","Third Party Sharing/Collection"
"591","Policy Change"
"592","First Party Collection/Use"
"593","User Choice/Control"
"594","First Party Collection/Use"
"595","Third Party Sharing/Collection"
"596","Third Party Sharing/Collection"
"597","Third Party Sharing/Collection"
"598","First Party Collection/Use"
"599","First Party Collection/Use"
"600","First Party Collection/Use"
"601","First Party Collection/Use"
"602","Other"
"603","Third Party Sharing/Collection"
"604","Third Party Sharing/Collection"
"605","Third Party Sharing/Collection"
"606","User Choice/Control"
"607","User Choice/Control"
"608","Third Party Sharing/Collection"
"609","Data Security"
"610","Data Security"
"611","Data Security"
"612","Data Security"
"613","Data Security"
"614","Third Party Sharing/Collection"
"615","Data Security"
"616","Third Party Sharing/Collection"
"617","Other"
"618","Other"
"619","Other"
"620","User Access, Edit and Deletion"
"621","User Access, Edit and Deletion"
"622","User Access, Edit and Deletion"
"623","User Access, Edit and Deletion"
"624","User Access, Edit and Deletion"
"625","User Access, Edit and Deletion"
"626","User Access, Edit and Deletion"
"627","User Access, Edit and Deletion"
"628","User Access, Edit and Deletion"
"629","User Access, Edit and Deletion"
"630","User Access, Edit and Deletion"
"631","User Access, Edit and Deletion"
"632","User Choice/Control"
"633","User Choice/Control"
"634","User Choice/Control"
"635","User Choice/Control"
"636","User Choice/Control"
"637","User Choice/Control"
"638","Data Retention"
"639","User Access, Edit and Deletion"
"640","User Access, Edit and Deletion"
"641","Data Retention"
"642","User Choice/Control"
"643","User Choice/Control"
"644","Policy Change"
"645","User Choice/Control"
"646","User Choice/Control"
"647","User Choice/Control"
"648","User Choice/Control"
"649","User Choice/Control"
"650","User Choice/Control"
"651","Other"
"652","User Choice/Control"
"653","User Choice/Control"
"654","User Choice/Control"
"655","User Choice/Control"
"656","International and Specific Audiences"
"657","Other"
"658","Data Security"
"659","International and Specific Audiences"
"660","Other"
"661","International and Specific Audiences"
"662","First Party Collection/Use"
"663","Data Security"
"664","Other"
"665","International and Specific Audiences"
"666","Other"
"667","Data Security"
"668","Policy Change"
"669","Policy Change"
"670","User Choice/Control"
"671","Other"
"672","Policy Change"
"673","Policy Change"
"674","Other"
"675","Other"
"676","First Party Collection/Use"
"677","First Party Collection/Use"
"678","First Party Collection/Use"
"679","First Party Collection/Use"
"680","First Party Collection/Use"
"681","First Party Collection/Use"
"682","First Party Collection/Use"
"683","First Party Collection/Use"
"684","First Party Collection/Use"
"685","First Party Collection/Use"
"686","First Party Collection/Use"
"687","First Party Collection/Use"
"688","First Party Collection/Use"
"689","First Party Collection/Use"
"690","First Party Collection/Use"
"691","First Party Collection/Use"
"692","First Party Collection/Use"
"693","First Party Collection/Use"
"694","First Party Collection/Use"
"695","First Party Collection/Use"
"696","First Party Collection/Use"
"697","First Party Collection/Use"
"698","First Party Collection/Use"
"699","First Party Collection/Use"
"700","First Party Collection/Use"
"701","First Party Collection/Use"
"702","First Party Collection/Use"
"703","First Party Collection/Use"
"704","First Party Collection/Use"
"705","First Party Collection/Use"
"706","First Party Collection/Use"
"707","First Party Collection/Use"
"708","First Party Collection/Use"
"709","First Party Collection/Use"
"710","First Party Collection/Use"
"711","First Party Collection/Use"
"712","First Party Collection/Use"
"713","First Party Collection/Use"
"714","First Party Collection/Use"
"715","First Party Collection/Use"
"716","User Choice/Control"
"717","User Choice/Control"
"718","Other"
"719","First Party Collection/Use"
"720","Third Party Sharing/Collection"
"721","Third Party Sharing/Collection"
"722","Third Party Sharing/Collection"
"723","Third Party Sharing/Collection"
"724","Third Party Sharing/Collection"
"725","Third Party Sharing/Collection"
"726","Third Party Sharing/Collection"
"727","Third Party Sharing/Collection"
"728","Third Party Sharing/Collection"
"729","Third Party Sharing/Collection"
"730","Third Party Sharing/Collection"
"731","Third Party Sharing/Collection"
"732","First Party Collection/Use"
"733","First Party Collection/Use"
"734","First Party Collection/Use"
"735","First Party Collection/Use"
"736","Other"
"737","Third Party Sharing/Collection"
"738","User Access, Edit and Deletion"
"739","User Access, Edit and Deletion"
"740","User Access, Edit and Deletion"
"741","User Access, Edit and Deletion"
"742","User Access, Edit and Deletion"
"743","User Access, Edit and Deletion"
"744","User Access, Edit and Deletion"
"745","User Access, Edit and Deletion"
"746","User Access, Edit and Deletion"
"747","Other"
"748","Other"
"749","Other"
"750","User Choice/Control"
"751","First Party Collection/Use"
"752","Other"
"753","User Choice/Control"
"754","First Party Collection/Use"
"755","Other"
"756","First Party Collection/Use"
"757","First Party Collection/Use"
"758","First Party Collection/Use"
"759","First Party Collection/Use"
"760","First Party Collection/Use"
"761","First Party Collection/Use"
"762","First Party Collection/Use"
"763","First Party Collection/Use"
"764","Data Retention"
"765","Data Retention"
"766","First Party Collection/Use"
"767","First Party Collection/Use"
"768","Other"
"769","First Party Collection/Use"
"770","First Party Collection/Use"
"771","First Party Collection/Use"
"772","First Party Collection/Use"
"773","First Party Collection/Use"
"774","First Party Collection/Use"
"775","First Party Collection/Use"
"776","First Party Collection/Use"
"777","First Party Collection/Use"
"778","First Party Collection/Use"
"779","First Party Collection/Use"
"780","First Party Collection/Use"
"781","Data Retention"
"782","Data Retention"
"783","First Party Collection/Use"
"784","First Party Collection/Use"
"785","First Party Collection/Use"
"786","Third Party Sharing/Collection"
"787","User Choice/Control"
"788","First Party Collection/Use"
"789","First Party Collection/Use"
"790","First Party Collection/Use"
"791","First Party Collection/Use"
"792","First Party Collection/Use"
"793","Third Party Sharing/Collection"
"794","First Party Collection/Use"
"795","Third Party Sharing/Collection"
"796","User Choice/Control"
"797","First Party Collection/Use"
"798","First Party Collection/Use"
"799","First Party Collection/Use"
"800","Third Party Sharing/Collection"
"801","Third Party Sharing/Collection"
"802","Third Party Sharing/Collection"
"803","Third Party Sharing/Collection"
"804","Third Party Sharing/Collection"
"805","International and Specific Audiences"
"806","User Choice/Control"
"807","User Choice/Control"
"808","First Party Collection/Use"
"809","First Party Collection/Use"
"810","Third Party Sharing/Collection"
"811","Third Party Sharing/Collection"
"812","Third Party Sharing/Collection"
"813","First Party Collection/Use"
"814","First Party Collection/Use"
"815","First Party Collection/Use"
"816","Third Party Sharing/Collection"
"817","First Party Collection/Use"
"818","First Party Collection/Use"
"819","First Party Collection/Use"
"820","First Party Collection/Use"
"821","Third Party Sharing/Collection"
"822","Third Party Sharing/Collection"
"823","Third Party Sharing/Collection"
"824","Third Party Sharing/Collection"
"825","First Party Collection/Use"
"826","First Party Collection/Use"
"827","First Party Collection/Use"
"828","Third Party Sharing/Collection"
"829","Third Party Sharing/Collection"
"830","Other"
"831","Data Security"
"832","Data Security"
"833","Data Security"
"834","Data Security"
"835","Data Security"
"836","Data Security"
"837","Data Security"
"838","Do Not Track"
"839","Other"
"840","Policy Change"
"841","Policy Change"
"842","Policy Change"
"843","Other"
"844","Other"
"845","First Party Collection/Use"
"846","First Party Collection/Use"
"847","First Party Collection/Use"
"848","First Party Collection/Use"
"849","First Party Collection/Use"
"850","Third Party Sharing/Collection"
"851","First Party Collection/Use"
"852","First Party Collection/Use"
"853","First Party Collection/Use"
"854","First Party Collection/Use"
"855","First Party Collection/Use"
"856","First Party Collection/Use"
"857","First Party Collection/Use"
"858","First Party Collection/Use"
"859","First Party Collection/Use"
"860","First Party Collection/Use"
"861","First Party Collection/Use"
"862","First Party Collection/Use"
"863","Other"
"864","Third Party Sharing/Collection"
"865","First Party Collection/Use"
"866","Third Party Sharing/Collection"
"867","First Party Collection/Use"
"868","Third Party Sharing/Collection"
"869","First Party Collection/Use"
"870","First Party Collection/Use"
"871","First Party Collection/Use"
"872","First Party Collection/Use"
"873","First Party Collection/Use"
"874","First Party Collection/Use"
"875","First Party Collection/Use"
"876","First Party Collection/Use"
"877","Third Party Sharing/Collection"
"878","Third Party Sharing/Collection"
"879","First Party Collection/Use"
"880","Third Party Sharing/Collection"
"881","First Party Collection/Use"
"882","First Party Collection/Use"
"883","First Party Collection/Use"
"884","First Party Collection/Use"
"885","First Party Collection/Use"
"886","First Party Collection/Use"
"887","First Party Collection/Use"
"888","First Party Collection/Use"
"889","First Party Collection/Use"
"890","First Party Collection/Use"
"891","First Party Collection/Use"
"892","Other"
"893","First Party Collection/Use"
"894","Third Party Sharing/Collection"
"895","First Party Collection/Use"
"896","Third Party Sharing/Collection"
"897","Third Party Sharing/Collection"
"898","Other"
"899","First Party Collection/Use"
"900","First Party Collection/Use"
"901","First Party Collection/Use"
"902","First Party Collection/Use"
"903","First Party Collection/Use"
"904","First Party Collection/Use"
"905","First Party Collection/Use"
"906","First Party Collection/Use"
"907","Other"
"908","User Choice/Control"
"909","First Party Collection/Use"
"910","User Choice/Control"
"911","First Party Collection/Use"
"912","User Choice/Control"
"913","First Party Collection/Use"
"914","First Party Collection/Use"
"915","First Party Collection/Use"
"916","First Party Collection/Use"
"917","First Party Collection/Use"
"918","First Party Collection/Use"
"919","First Party Collection/Use"
"920","User Choice/Control"
"921","First Party Collection/Use"
"922","First Party Collection/Use"
"923","First Party Collection/Use"
"924","First Party Collection/Use"
"925","First Party Collection/Use"
"926","First Party Collection/Use"
"927","First Party Collection/Use"
"928","First Party Collection/Use"
"929","Other"
"930","First Party Collection/Use"
"931","First Party Collection/Use"
"932","First Party Collection/Use"
"933","First Party Collection/Use"
"934","First Party Collection/Use"
"935","First Party Collection/Use"
"936","User Choice/Control"
"937","First Party Collection/Use"
"938","First Party Collection/Use"
"939","First Party Collection/Use"
"940","First Party Collection/Use"
"941","First Party Collection/Use"
"942","First Party Collection/Use"
"943","First Party Collection/Use"
"944","First Party Collection/Use"
"945","First Party Collection/Use"
"946","User Access, Edit and Deletion"
"947","User Access, Edit and Deletion"
"948","User Access, Edit and Deletion"
"949","User Access, Edit and Deletion"
"950","User Access, Edit and Deletion"
"951","User Choice/Control"
"952","Third Party Sharing/Collection"
"953","Third Party Sharing/Collection"
"954","Third Party Sharing/Collection"
"955","Third Party Sharing/Collection"
"956","Third Party Sharing/Collection"
"957","Third Party Sharing/Collection"
"958","Third Party Sharing/Collection"
"959","First Party Collection/Use"
"960","First Party Collection/Use"
"961","First Party Collection/Use"
"962","First Party Collection/Use"
"963","First Party Collection/Use"
"964","First Party Collection/Use"
"965","First Party Collection/Use"
"966","User Access, Edit and Deletion"
"967","First Party Collection/Use"
"968","User Choice/Control"
"969","First Party Collection/Use"
"970","User Access, Edit and Deletion"
"971","First Party Collection/Use"
"972","First Party Collection/Use"
"973","User Access, Edit and Deletion"
"974","First Party Collection/Use"
"975","User Choice/Control"
"976","User Choice/Control"
"977","First Party Collection/Use"
"978","First Party Collection/Use"
"979","User Access, Edit and Deletion"
"980","User Access, Edit and Deletion"
"981","User Access, Edit and Deletion"
"982","User Access, Edit and Deletion"
"983","User Access, Edit and Deletion"
"984","First Party Collection/Use"
"985","First Party Collection/Use"
"986","First Party Collection/Use"
"987","First Party Collection/Use"
"988","User Access, Edit and Deletion"
"989","First Party Collection/Use"
"990","First Party Collection/Use"
"991","User Access, Edit and Deletion"
"992","First Party Collection/Use"
"993","Third Party Sharing/Collection"
"994","Third Party Sharing/Collection"
"995","First Party Collection/Use"
"996","First Party Collection/Use"
"997","Third Party Sharing/Collection"
"998","Third Party Sharing/Collection"
"999","Data Security"
"1000","First Party Collection/Use"
"1001","Third Party Sharing/Collection"
"1002","Third Party Sharing/Collection"
"1003","First Party Collection/Use"
"1004","Data Retention"
"1005","First Party Collection/Use"
"1006","First Party Collection/Use"
"1007","First Party Collection/Use"
"1008","First Party Collection/Use"
"1009","First Party Collection/Use"
"1010","First Party Collection/Use"
"1011","First Party Collection/Use"
"1012","First Party Collection/Use"
"1013","First Party Collection/Use"
"1014","First Party Collection/Use"
"1015","User Access, Edit and Deletion"
"1016","First Party Collection/Use"
"1017","First Party Collection/Use"
"1018","User Access, Edit and Deletion"
"1019","First Party Collection/Use"
"1020","First Party Collection/Use"
"1021","First Party Collection/Use"
"1022","First Party Collection/Use"
"1023","User Access, Edit and Deletion"
"1024","First Party Collection/Use"
"1025","First Party Collection/Use"
"1026","First Party Collection/Use"
"1027","First Party Collection/Use"
"1028","First Party Collection/Use"
"1029","First Party Collection/Use"
"1030","First Party Collection/Use"
"1031","First Party Collection/Use"
"1032","First Party Collection/Use"
"1033","First Party Collection/Use"
"1034","First Party Collection/Use"
"1035","First Party Collection/Use"
"1036","First Party Collection/Use"
"1037","First Party Collection/Use"
"1038","User Access, Edit and Deletion"
"1039","Other"
"1040","User Choice/Control"
